%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,0.0,0.0,0.21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.811298277868906,-0.6193779069457955,29.870640142461387,0.3434777932744031,14.17894217430962,-12.475589974603734,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.334358012954587,1.148654655672889,17.318923908088834,2.1665786152376154,2.328915178804111,18.155092036958127,14.323478761877022,-15.338848219061127,33.37178994845499,4.203830307247998,10.312833618617168,30.347419464559287,1,1,1,1
10001000,10000000,0.000510189037717028,-2.7854137291920706e-05,0.21139414396299064,6.380400420426822e-06,0.0003251405373384984,-0.00028471637786595566,0.9999999065897485,0.0990002199257639,-0.005259351652847234,0.26888998818488824,0.002126025000547398,0.12418950653524104,-0.10845199805945388,8.988745707283874,-0.43249242362365126,23.90735749451627,0.0871217070579826,10.65892644883256,-9.214841529033615,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.499636129333381,6.092030688227354,-20.8099892052829,14.503261370197155,1.8734591444067699,11.995805025217912,14.113670078626543,-11.612909738414475,55.86021713285408,-31.28673842802949,58.380129231373395,17.09766306337659,1,1,1,1
20001000,20000000,0.0019192526461624436,-9.895751694620653e-05,0.21517902367543293,1.717375334643561e-05,0.001183227214404888,-0.0010301737961622146,0.9999987692094281,0.17977491414567748,-0.008649848472473026,0.4781471498903253,0.001790894630716681,0.2131807072615878,-0.1842940453288237,7.166193136698842,-0.24560694030150693,17.944074846571148,-0.15431308727372375,7.139536270552772,-5.953289877444492,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.882851638853843,11.318577306428566,-47.3164880938191,25.334850973667045,1.4433086866396279,6.508220053023452,13.568590474328978,-5.539578801093803,109.62452480794448,-60.53750877494807,98.16252956129513,6.547264102685535,1,1,1,1
30001000,30000000,0.004044935568277743,-0.00019462159063064307,0.2207583108725323,2.0178641335967594e-05,0.0023982803959388247,-0.002073301045684131,0.9999949746207423,0.2423240826597407,-0.010171490458877372,0.6277714851163112,-0.0010038128554409552,0.2669862003238329,-0.2275104300778377,5.3436405661138116,-0.058721456979362596,11.98079219862603,-0.40843763425362895,3.6219123444310233,-2.6895609381875505,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.015838789031227,16.59922616945574,-63.51374815150062,34.73090753095964,1.0392394032387056,1.663424321607803,12.814759617165128,-4.77558216402803,174.11325215656586,-83.97127965563685,130.20721467167098,-1.5105080945452634,1,1,1,1
40001000,40000000,0.006704982547004424,-0.00029615781001301577,0.2275356772894943,2.5832989433785458e-06,0.003794382114220715,-0.003250944446029542,0.9999875169310398,0.2866477254679537,-0.009824277612060279,0.7177629938628458,-0.00647516903936757,0.2856262303889289,-0.23807655541346487,3.52108799552878,0.12816402634278168,6.017509550680913,-0.6913732000813619,0.10644415834502972,0.5767482334659647,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.430431827380783,21.704908936488103,-70.71494477230834,42.76099114738728,0.6620268919400241,-2.567494967795985,11.978697175315798,-16.9776465841461,228.7749383615578,-102.01084999222489,155.0613646257896,-7.282384205347215,1,1,1,1
50001000,50000000,0.009717138325283986,-0.0003848776267611105,0.2349147946615244,-4.985285014763955e-05,0.0051956841575383035,-0.004399867719080776,0.9999768215038202,0.31274584257031635,-0.007608209932021735,0.7481216761299294,-0.014944096779316362,0.2691209283529221,-0.21596865066465815,1.6985354249437474,0.31504950966492606,0.05422690273578823,-1.0077734687852484,-3.4073036149587295,3.8450694625523187,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.658465001417756,26.406557266704862,-70.23325335022304,49.49466192826232,0.31244675047960474,-6.213450613954849,11.186922816961788,-49.80249881837693,253.0581226057601,-115.0790187068414,173.2721594869396,-10.975094906751687,1,1,1,1
60001000,60000000,0.01289914764605792,-0.0004420924925427126,0.24229933472382806,-0.00015304419290225403,0.0064263750074192,-0.0053568042513104834,0.9999649908521558,0.32061843396682865,-0.0035232874187617544,0.7188475319175616,-0.02672083659403915,0.21748127074968318,-0.1611734819031438,-0.12401714564128419,0.5019349929870703,-5.909055745209326,-1.3508525314768953,-6.92075611275614,7.113863611661214,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.231772558657415,30.47510281928525,-63.38184927922565,55.00147997889711,-0.008725423406531436,-9.303355415635744,10.503798966412456,-110.3012761386477,226.90249995601675,-123.59858472161537,185.38677931840957,-12.795370875790105,1,1,1,1
70001000,70000000,0.016068755252267725,-0.0004491138590256073,0.24909296921161078,-0.0003242511937524659,0.007310597199767823,-0.005958553307317899,0.9999554718447367,0.31026549965749073,0.002430489927719666,0.6299405612257429,-0.04199064892213641,0.13069836771548216,-0.07369806049534923,-1.9465697162263158,0.6888204763092146,-11.872338393154447,-1.7024009563332454,-10.436480226878736,10.380620784431962,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.682188746614987,33.68147725340846,-51.47390795329696,59.351005404604,-0.30071403198236357,-11.86612217160561,7.986983065830338,-177.93469212557943,158.73388482914072,-127.99234695867592,191.95240418348817,-12.949942789493845,1,1,1,1
80001000,80000000,0.019043705886854896,-0.00038725317787758067,0.2546993698600781,-0.0005811800794628956,0.007672307109530986,-0.006042112188417106,0.9999521442617316,0.28168703964230235,0.010253122107422533,0.48140076405447263,-0.060699536499620205,0.008731729679978624,0.04642064952615083,-3.7691222868113456,0.8757059596313589,-17.83562104109956,-2.0327703571565556,-13.958219622799216,13.64186030516348,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.54154781280574,35.79661222825376,-35.822604766417896,62.61279831069537,-0.5627434775118705,-13.930663680631387,3.600671613800763,-228.2741094597152,77.20362943506424,-128.68310434015217,193.516214145464,-11.6455413248943,1,1,1,1
90001000,90000000,0.02164174429276093,-0.00023782190076641853,0.2585222084044354,-0.0009405087523407514,0.007335075049912648,-0.005444842260210042,0.9999578320159607,0.23488305392126385,0.01994460912034684,0.27322814040375176,-0.08243957010020074,-0.1485017985306436,0.19910602157762183,-5.591674857396379,1.0625914429535035,-23.798903689044682,-2.3008061944635565,-17.490708830400344,16.8931302091643,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.341684004744934,36.5914394030003,-17.74111511256922,64.85641880248352,-0.7940381622590306,-15.525892741480037,-1.373682628894783,-245.93841241067784,6.502493478652042,-126.09365578817324,190.62538926762562,-9.088897159022839,1,1,1,1
